customer,area,name,sales,db2
"2200016","Aoki, Fabio","Rumo Malha Sul S.A","5.799","81,81942037"
"2200078","Aoki, Fabio","Digicon SA Controle","34.137","88,09771205"
"2200208","Aoki, Fabio","Lumicenter Indústria e","251.441","59,95687179"
"2200266","Aoki, Fabio","Provolt Tecnologia","24.793","69,58055511"
"2200282","Aoki, Fabio","Buhler Sanmak Indústria de","51.158","83,14606873"
"2200353","Aoki, Fabio","Wise Transformadores LTDA","8.605","30,29798727"
"2200360","Aoki, Fabio","Zikeli Indústria Mecânica","12.302","67,90098368"
"2200403","Aoki, Fabio","Rotaria do Brasil LTDA","2.346","73,94329271"
"2200435","Aoki, Fabio","Trox do Brasil Difusão de Ar","46.892","80,90726952"
"2200463","Aoki, Fabio","Weg Equipamentos Elétricos S/A","36.852","78,74945696"
"2200505","Aoki, Fabio","Buhler Indústria e Comércio de","429.614","79,91139352"
"2200553","Aoki, Fabio","Fockink Indústrias Elétricas","891,37","90,21842781"
"2200576","Aoki, Fabio","WEG Equipamentos Elétricos S/A","295.752","75,73935933"
"2200609","Aoki, Fabio","Selettra Automação e Robotica Ltda","137,9","86,57722988"
"2200624","Aoki, Fabio","Julio Carlos Benjamin","3.944","57,86936788"
"2200635","Aoki, Fabio","Engetel Comercio de Prod Eletro","6.503","49,45236085"
"2200768","Aoki, Fabio","Bosch Rexroth Limitada","88.188","92,78130963"
"2200793","Aoki, Fabio","Wekoamérica Latina","109.954","70,16868949"
"2200809","Aoki, Fabio","Brustronic Automação","16.397","64,99521245"
"2200854","Aoki, Fabio","Fabio Perini Indústria e","150.143","78,27614775"
"2200864","Aoki, Fabio","Pintarelli Industrial LTDA ME","7.459","78,64871315"
"2200877","Aoki, Fabio","Indusul Indústria de","33.430","50,24468996"
"2200959","Aoki, Fabio","Cso Máquinas e Consultoria","1.832","60,81237447"
"2200960","Aoki, Fabio","Auti Automação Industrial LTDA","88.204","67,81248965"
"2200992","Aoki, Fabio","Inversul Automação","3.185","51,78727306"
"2201188","Aoki, Fabio","Brevil Bremer & Marcovil","29.734","72,41744619"
"2201373","Aoki, Fabio","Censi Máquinas LTDA","3.105","62,580801"
"2201378","Aoki, Fabio","Metalnox Ind e Com LTDA","6.281","77,06032475"
"2201411","Aoki, Fabio","Automatic Ind. e Com. de","872,72","84,55632964"
"2201413","Aoki, Fabio","Invertec Eletro Eletrônica","3.311","64,7756236"
"2201677","Aoki, Fabio","Korber Painéis Elétricos","1.469","84,59778568"
"2201689","Aoki, Fabio","Mogk Indústria e Comércio de","57.549","73,82544819"
"2201704","Aoki, Fabio","Fornos Jung LTDA","2.264","84,09125045"
"2201742","Aoki, Fabio","Dolphin Soluções em","43.882","76,77092881"
"2201750","Aoki, Fabio","Globus Sistemas Eletrônicos","14.410","81,76764869"
"2201847","Aoki, Fabio","Weg Drives & Controls","126.151","80,82343763"
"2201952","Aoki, Fabio","Rumo Malha Paulista S.A.","8.750","93,62499443"
"2202024","Aoki, Fabio","Augusto Vicente Paz Me","290,96","64,68243057"
"2202054","Aoki, Fabio","Safety Control Automação","694.546","73,16929532"
"2202107","Aoki, Fabio","B 2 B Tecnologia e Serviços","1.928","100,2639822"
"2202118","Aoki, Fabio","Artama Metalmecanica Limitada","18.829","75,72116802"
"2202151","Aoki, Fabio","Albrecht Equipamentos","2.113","76,7545852"
"2202194","Aoki, Fabio","Cope & Cia LTDA","23.749","85,54080753"
"2202201","Aoki, Fabio","Eco Automação Industrial LTDA","1.105.577","70,61981097"
"2202213","Aoki, Fabio","Perfor Indústria de Máquinas","96.363","78,62088897"
"2202261","Aoki, Fabio","Siderúrgica Norte Brasil S.A.","3.707","88,1021756"
"2202313","Aoki, Fabio","Buaiz S/A Indústria e Comércio","6.185","94,16336813"
"2202433","Aoki, Fabio","Automasafety Consult., Ind.","6.553","85,83645403"
